,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,last_review,review_scores_rating
0,Manhattan,Apartment,Private room,2,1,1,2,Real Bed,59,2,21,316,164,2018-02-11,92
1,Brooklyn,Apartment,Private room,4,1,2,3,Real Bed,39,1,730,365,7,2017-09-17,97
2,Manhattan,Apartment,Entire home/apt,2,1,0,1,Real Bed,225,1,1125,365,29,2018-01-01,97
3,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,70,5,730,279,27,2017-12-12,97
4,Manhattan,Apartment,Private room,2,1,1,1,Pull-out Sofa,150,3,7,365,0,,0
5,Brooklyn,Other,Entire home/apt,3,1,1,3,Real Bed,89,1,730,126,181,2018-02-24,90
6,Manhattan,Apartment,Entire home/apt,3,1,1,2,Real Bed,150,1,30,17,26,2018-01-01,88
7,Manhattan,Apartment,Entire home/apt,2,1,1,2,Real Bed,150,1,6,2,58,2016-12-23,93
8,Brooklyn,Apartment,Private room,2,0,1,1,Futon,60,45,730,365,51,2017-10-05,90
9,Brooklyn,Apartment,Entire home/apt,4,1.5,3,2,Real Bed,253,4,30,358,1,2014-01-02,97
10,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,129,3,14,0,64,2017-10-09,93
11,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,79,2,14,171,371,2018-02-14,84
12,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,79,2,14,0,118,2017-07-21,98
13,Manhattan,Apartment,Entire home/apt,3,1,1,2,Real Bed,120,1,1125,181,146,2018-02-17,93
14,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,135,5,365,249,37,2017-12-14,94
15,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,145,7,30,365,25,2016-08-23,91
16,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,126,2,6,49,143,2018-02-11,97
17,Brooklyn,House,Private room,2,0,1,1,Real Bed,82,4,15,279,148,2017-12-31,93
18,Manhattan,Apartment,Private room,2,1,1,1,Airbed,110,1,10,80,66,2017-10-09,92
19,Manhattan,Apartment,Entire home/apt,1,1,1,1,Real Bed,175,3,365,1,24,2018-02-04,96
20,Brooklyn,Apartment,Entire home/apt,3,1,,1,Real Bed,140,2,90,281,86,2018-02-25,90
21,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,95,4,365,0,225,2018-01-05,97
22,Brooklyn,House,Entire home/apt,4,1,1,2,Real Bed,215,2,30,353,144,2018-02-11,96
23,Manhattan,Apartment,Entire home/apt,2,0,,1,Futon,144,9,32,125,61,2017-09-10,92
24,Manhattan,Apartment,Private room,3,1,1,1,Real Bed,120,1,180,0,209,2017-06-30,96
25,Brooklyn,Loft,Entire home/apt,4,1,,2,Real Bed,299,3,90,87,10,2011-12-28,98
26,Manhattan,Apartment,Entire home/apt,4,1,1,2,Real Bed,225,3,10,195,14,2018-01-31,95
27,Brooklyn,Townhouse,Private room,4,3,1,2,Real Bed,130,2,90,330,103,2018-02-25,93
28,Brooklyn,House,Private room,2,1,1,2,Real Bed,110,1,180,303,26,2017-11-19,94
29,Brooklyn,House,Private room,3,1,1,2,Real Bed,110,2,730,307,51,2017-12-31,90
30,Manhattan,Apartment,Private room,3,1,1,2,Real Bed,49,2,21,288,131,2018-01-21,91
31,Manhattan,Apartment,Entire home/apt,6,1.5,3,4,Real Bed,350,4,35,0,11,2017-10-09,96
32,Brooklyn,Apartment,Entire home/apt,5,1,1,4,Real Bed,120,2,365,199,56,2018-01-21,95
33,Manhattan,Apartment,Entire home/apt,2,1,0,1,Pull-out Sofa,135,1,365,63,239,2018-02-05,94
34,Manhattan,Apartment,Entire home/apt,2,1,,1,Real Bed,150,10,1125,48,58,2017-08-13,90
35,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,44,3,30,337,85,2018-02-08,85
36,Manhattan,Apartment,Entire home/apt,3,1,1,1,Real Bed,180,5,60,365,20,2017-04-25,93
37,Manhattan,Apartment,Private room,2,1,1,1,Futon,50,3,365,274,218,2017-11-05,87
38,Manhattan,Apartment,Private room,2,1.5,1,1,Real Bed,52,2,730,273,59,2018-01-14,98
39,Brooklyn,Apartment,Private room,2,1.5,1,1,Real Bed,55,4,60,331,175,2017-12-05,80
40,Manhattan,Apartment,Private room,2,0,1,2,Futon,50,3,365,365,245,2018-01-05,89
41,Brooklyn,House,Private room,3,0,1,2,Real Bed,60,1,730,322,71,2018-01-10,94
42,Brooklyn,House,Private room,2,1,1,2,Real Bed,82,4,20,296,145,2018-01-10,94
43,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,85,2,50,42,165,2017-12-18,86
44,Brooklyn,Apartment,Entire home/apt,4,1,2,2,Real Bed,140,3,90,77,146,2018-02-10,90
45,Brooklyn,House,Private room,1,1,1,2,Real Bed,150,1,730,365,0,,0
46,Manhattan,Apartment,Shared room,1,1,1,1,Pull-out Sofa,35,1,28,199,190,2018-02-28,95
47,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,65,2,75,33,216,2018-02-11,86
48,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,120,3,30,363,5,2017-12-04,100
49,Brooklyn,Apartment,Private room,2,2,1,1,Real Bed,120,7,30,365,24,2016-11-17,100
50,Manhattan,Apartment,Private room,2,2,1,1,Real Bed,135,4,365,218,67,2018-01-01,94
