neighbourhoodGroup,neighbourhood,latitude,longitude,propertyType,roomType,accommodates,bathrooms,bedrooms,beds,bedType,price,availability,Distance
Manhattan,East Harlem,40.80178392,-73.9433801,Apartment,Private room,1,1,1,1,Real Bed,225,180,9.49E-05
Manhattan,East Harlem,40.78602999,-73.95015117,Apartment,Private room,1,1,1,1,Real Bed,165,179,1.842159979
Manhattan,East Harlem,40.80167688,-73.9402841,Apartment,Private room,1,1,1,1,Real Bed,150,263,0.26086762
Manhattan,East Harlem,40.79091269,-73.95199957,Apartment,Private room,1,1,1,1,Real Bed,150,89,1.40986483
Manhattan,East Harlem,40.79770687,-73.94832933,Apartment,Private room,1,1,1,1,Real Bed,145,58,0.615692912
Manhattan,East Harlem,40.78827107,-73.9462928,Apartment,Private room,1,1,1,1,Real Bed,128,307,1.522434488
Manhattan,East Harlem,40.79564974,-73.93854191,Apartment,Private room,1,1,1,1,Real Bed,125,362,0.794421308
Manhattan,East Harlem,40.7895038,-73.94021027,Apartment,Private room,1,1,1,1,Real Bed,120,365,1.391314373
Manhattan,East Harlem,40.79705254,-73.9475783,Apartment,Private room,1,1,1,1,Real Bed,115,364,0.633771326
Manhattan,East Harlem,40.79833224,-73.94259316,Apartment,Private room,1,1,1,1,Real Bed,115,179,0.389483373
Manhattan,East Harlem,40.79582112,-73.93175084,Apartment,Private room,1,1,1,1,Real Bed,100,89,1.18230975
Manhattan,East Harlem,40.80323004,-73.94200104,Apartment,Private room,1,1,1,1,Real Bed,100,364,0.198319997
Manhattan,East Harlem,40.79402776,-73.94940663,Apartment,Private room,1,1,1,1,Real Bed,95,365,1.000579274
Manhattan,East Harlem,40.79416537,-73.95100917,Apartment,Private room,1,1,1,1,Real Bed,92,60,1.06304273
Manhattan,East Harlem,40.79106835,-73.94289743,Apartment,Private room,1,1,1,1,Real Bed,90,365,1.192209562
Manhattan,East Harlem,40.78806963,-73.94819716,Apartment,Private room,1,1,1,1,Real Bed,86,122,1.5779523
Manhattan,East Harlem,40.79981117,-73.94047553,Apartment,Private room,1,1,1,1,Real Bed,85,215,0.328469628
Manhattan,East Harlem,40.79490415,-73.94573474,Apartment,Private room,1,1,1,1,Real Bed,85,28,0.790255118
Manhattan,East Harlem,40.80902565,-73.93990215,Apartment,Private room,1,1,1,1,Real Bed,85,179,0.856800832
Manhattan,East Harlem,40.78810223,-73.94769391,Apartment,Private room,1,1,1,1,Real Bed,85,9,1.564074219
Manhattan,East Harlem,40.78567908,-73.94867924,Apartment,Private room,1,1,1,1,Real Bed,85,365,1.845502247
Manhattan,East Harlem,40.79045047,-73.94394031,Apartment,Private room,1,1,1,1,Real Bed,80,353,1.261104163
Manhattan,East Harlem,40.8140614,-73.93589664,Apartment,Private room,1,1,1,1,Real Bed,80,62,1.503478868
Manhattan,East Harlem,40.79628989,-73.94820587,Apartment,Private room,1,1,1,1,Real Bed,80,100,0.733631863
Manhattan,East Harlem,40.79207121,-73.94196339,Apartment,Private room,1,1,1,1,Real Bed,80,247,1.086568325
Manhattan,East Harlem,40.79088718,-73.94272175,Apartment,Private room,1,1,1,1,Real Bed,80,88,1.212928917
Manhattan,East Harlem,40.79415509,-73.93983704,Apartment,Private room,1,1,1,1,Real Bed,77,180,0.899188455
Manhattan,East Harlem,40.78744407,-73.95211113,Apartment,Private room,1,1,1,1,Real Bed,76,344,1.755759966
Manhattan,East Harlem,40.81427918,-73.93598028,Apartment,Private room,1,1,1,1,Real Bed,75,365,1.522607991
Manhattan,East Harlem,40.79606825,-73.9482136,Apartment,Private room,1,1,1,1,Real Bed,75,365,0.754628824
Manhattan,East Harlem,40.80119781,-73.93776979,Apartment,Private room,1,1,1,1,Real Bed,75,89,0.47670769
Manhattan,East Harlem,40.7961341,-73.93559412,Apartment,Private room,1,1,1,1,Real Bed,75,88,0.907858621
Manhattan,East Harlem,40.78986782,-73.94882928,Apartment,Private room,1,1,1,1,Real Bed,75,338,1.40216416
Manhattan,East Harlem,40.80297764,-73.94223156,Apartment,Private room,1,1,1,1,Real Bed,75,365,0.164208896
Manhattan,East Harlem,40.78714782,-73.95316154,Apartment,Private room,1,1,1,1,Real Bed,71,43,1.823905981
