,accommodates,bathrooms,bedrooms,beds,price,shared,home,private,Queens,Brooklyn,StatenIsland,Manhattan,Bronx,testTrain,listId
0,4,1,1,2,225.0,0,1,0,0,0,0,1,0,1,26
1,3,1,1,2,110.0,0,0,1,0,1,0,0,0,1,29
2,6,1,1,2,127.0,0,1,0,0,0,0,1,0,1,474
3,2,1,0,1,166.16078124302504,0,1,0,0,0,0,1,0,0,964
4,2,1,1,2,73.02068200026709,0,0,1,0,1,0,0,0,0,1677
5,2,1,1,1,132.5912158248019,0,1,0,0,1,0,0,0,0,1697
6,2,1,1,1,56.0,0,0,1,0,0,0,1,0,1,1806
7,2,1,1,1,250.0,0,1,0,0,0,0,1,0,1,1950
8,2,1,1,1,55.0,0,1,0,0,0,0,1,0,1,2040
9,3,1,1,1,250.0,0,1,0,0,1,0,0,0,1,2214
10,3,2,1,2,372.8847503131799,0,1,0,0,0,0,1,0,0,2250
11,2,1,1,1,200.0,0,1,0,0,0,0,1,0,1,2453
12,2,1,1,1,132.5912158248019,0,1,0,0,1,0,0,0,0,2509
13,2,1,0,1,150.0,0,1,0,0,0,0,1,0,1,2529
14,2,1,1,1,85.0,0,0,1,0,0,0,0,1,1,2927
15,2,1,1,1,99.0,0,0,1,0,1,0,0,0,1,3091
16,3,1,2,2,140.0,0,1,0,0,1,0,0,0,1,3506
17,2,1,0,1,136.0,0,1,0,0,1,0,0,0,1,3764
18,2,1,1,1,99.42694564382396,0,0,1,0,0,0,1,0,0,4590
19,2,1,0,2,575.0,0,1,0,0,0,0,1,0,1,4823
20,3,1,1,1,132.5912158248019,0,1,0,0,1,0,0,0,0,4894
21,2,1,1,1,99.42694564382396,0,0,1,0,0,0,1,0,0,5385
22,2,1,1,1,175.2062645130777,0,1,0,0,0,0,1,0,0,5409
23,5,1,1,2,136.78400279944114,0,1,0,0,1,0,0,0,0,5556
24,5,1,2,3,275.0,0,1,0,0,1,0,0,0,1,6721
25,1,1,1,1,55.0,0,0,1,0,1,0,0,0,1,7225
26,2,1,1,1,60.0,0,0,1,1,0,0,0,0,1,7279
27,2,1,1,1,175.2062645130777,0,1,0,0,0,0,1,0,0,7747
28,3,1,1,1,66.63207304417206,0,0,1,1,0,0,0,0,0,8075
29,2,1,1,1,99.42694564382396,0,0,1,0,0,0,1,0,0,8440
30,3,1,1,2,99.42694564382396,0,0,1,0,0,0,1,0,0,8484
31,2,1,1,1,70.0,0,0,1,1,0,0,0,0,1,9233
32,1,1,1,1,80.0,0,1,0,0,1,0,0,0,1,9458
33,3,1,2,1,300.0,0,1,0,0,0,0,1,0,1,9715
34,1,1,1,1,250.0,0,0,1,0,0,0,1,0,1,9945
35,2,1,1,1,99.42694564382396,0,0,1,0,0,0,1,0,0,9968
36,4,1,1,3,134.06414703682876,0,1,0,0,1,0,0,0,0,9978
37,1,1,1,1,61.455356004131175,0,0,1,0,1,0,0,0,0,10156
38,2,1,1,1,100.0,0,0,1,0,0,0,1,0,1,10422
39,2,1,1,1,399.0,0,1,0,0,0,0,1,0,1,10871
40,4,1,2,2,249.0,0,1,0,0,1,0,0,0,1,10959
41,3,1,1,2,30.0,0,0,1,0,1,0,0,0,1,11190
42,6,1,3,3,206.50549282609057,0,1,0,1,0,0,0,0,0,11276
43,3,2,1,2,70.0,0,0,1,0,1,0,0,0,1,11434
44,4,1,2,3,160.0,0,1,0,0,1,0,0,0,1,11567
45,2,1,1,1,73.02068200026709,0,0,1,0,1,0,0,0,0,11619
46,1,1,1,1,225.0,0,0,1,1,0,0,0,0,1,11625
47,4,1,1,1,399.0,0,1,0,0,0,0,1,0,1,11745
48,6,1,3,3,155.0,0,1,0,0,0,1,0,0,1,11938
49,1,2,1,1,65.0,0,0,1,0,0,0,1,0,1,11945
50,2,1,1,1,132.5912158248019,0,1,0,0,1,0,0,0,0,12044
51,2,1,1,2,250.0,0,1,0,0,0,0,1,0,1,12568
52,7,1,2,2,174.0,0,1,0,0,0,0,1,0,1,13098
53,1,1,1,1,100.0,0,0,1,0,0,0,1,0,1,13248
54,2,1,1,1,28.0,0,0,1,0,0,0,1,0,1,13401
55,2,1,1,1,65.0,0,0,1,0,1,0,0,0,1,13452
56,5,1,2,2,125.0,0,1,0,1,0,0,0,0,1,13460
57,3,1,2,2,100.0,0,1,0,1,0,0,0,0,1,13518
58,2,1,1,1,66.63207304417206,0,0,1,1,0,0,0,0,0,13638
59,6,2,3,4,550.0,0,1,0,0,0,0,1,0,1,13723
60,4,1,1,1,150.0,0,1,0,0,0,0,1,0,1,14117
61,2,1,1,1,100.0,0,0,1,1,0,0,0,0,1,14719
62,1,1,1,1,61.455356004131175,0,0,1,0,1,0,0,0,0,14846
63,1,1,1,1,61.455356004131175,0,0,1,0,1,0,0,0,0,15057
64,4,1,1,2,120.0,0,1,0,0,1,0,0,0,1,15173
65,2,1,1,1,175.2062645130777,0,1,0,0,0,0,1,0,0,15194
66,1,1,1,1,61.455356004131175,0,0,1,0,1,0,0,0,0,15237
67,2,1,1,1,127.0,0,1,0,0,0,0,1,0,1,15322
68,2,1,1,1,80.0,0,0,1,0,1,0,0,0,1,15371
69,1,1,1,1,105.0,1,0,0,0,1,0,0,0,1,15375
70,1,1,1,1,49.0,0,0,1,1,0,0,0,0,1,15432
71,2,1,1,1,75.0,0,0,1,0,0,0,1,0,1,15437
72,1,1,1,1,27.0,0,0,1,0,1,0,0,0,1,15663
73,3,1,1,2,125.0,0,1,0,0,1,0,0,0,1,15846
74,2,1,1,1,85.0,0,0,1,0,1,0,0,0,1,16530
75,2,1,1,1,175.2062645130777,0,1,0,0,0,0,1,0,0,16597
76,2,1,1,1,125.0,0,0,1,0,0,0,1,0,1,16742
77,2,1,0,1,189.0,0,1,0,0,1,0,0,0,1,16896
78,4,1,1,2,75.0,0,1,0,1,0,0,0,0,1,17043
79,3,1,1,1,43.0,0,0,1,0,0,0,1,0,1,17048
80,3,1,1,1,90.0,0,1,0,0,1,0,0,0,1,17499
81,2,1,1,1,175.2062645130777,0,1,0,0,0,0,1,0,0,17703
82,3,1,1,1,139.0,0,1,0,0,0,0,1,0,1,17971
83,1,1,1,1,80.0,0,0,1,0,1,0,0,0,1,17979
84,5,2,2,2,374.84044366472733,0,1,0,0,0,0,1,0,0,18147
85,2,1,1,1,60.0,0,0,1,1,0,0,0,0,1,18196
86,4,1,2,2,220.0,0,1,0,0,0,0,1,0,1,18295
87,3,1,1,1,43.0,0,1,0,0,0,0,0,1,1,18348
88,2,1,0,1,200.0,0,1,0,0,0,0,1,0,1,18628
89,2,1,1,1,60.0,0,0,1,0,0,0,1,0,1,18730
90,1,1,1,1,82.0,0,0,1,0,0,0,1,0,1,19141
91,3,1,1,2,110.0,0,1,0,0,0,0,1,0,1,19158
92,4,1,2,2,161.79719040122228,0,1,0,0,1,0,0,0,0,19163
93,2,1,1,1,49.0,0,0,1,0,1,0,0,0,1,19771
94,4,1,2,2,125.0,0,1,0,0,1,0,0,0,1,19907
95,2,1,1,1,110.0,0,0,1,0,0,0,1,0,1,19979
96,3,1,1,1,125.0,0,1,0,0,1,0,0,0,1,20532
97,7,1,2,4,299.0,0,1,0,0,0,0,1,0,1,21209
98,2,1,1,1,73.02068200026709,0,0,1,0,1,0,0,0,0,21223
99,2,1,1,1,75.0,0,0,1,0,1,0,0,0,1,21342
100,2,1,1,1,132.5912158248019,0,1,0,0,1,0,0,0,0,21899
101,1,1,1,1,135.0,0,0,1,0,1,0,0,0,1,21965
102,2,1,1,1,85.0,0,0,1,0,1,0,0,0,1,22129
103,1,1,1,1,92.0,0,0,1,0,0,0,1,0,1,22165
104,2,1,1,1,85.0,0,0,1,0,0,0,1,0,1,22201
105,2,1,1,1,140.0,0,1,0,0,1,0,0,0,1,22245
106,1,1,1,1,45.0,1,0,0,0,0,0,1,0,1,22429
107,1,1,1,1,79.0,0,0,1,0,0,0,1,0,1,23019
108,2,1,1,1,78.0,0,0,1,1,0,0,0,0,1,23116
109,3,1,0,2,180.0,0,1,0,0,0,0,1,0,1,23492
110,2,1,1,1,150.0,0,0,1,1,0,0,0,0,1,23506
111,7,2,2,3,275.0,0,1,0,0,0,0,1,0,1,23766
112,4,1,1,2,203.33194871184955,0,1,0,0,0,0,1,0,0,25084
113,2,1,0,1,99.0,0,1,0,1,0,0,0,0,1,25207
114,2,1,1,1,99.42694564382396,0,0,1,0,0,0,1,0,0,25479
115,4,1,1,2,180.0,0,1,0,0,0,0,1,0,1,25649
116,1,1,1,1,60.0,0,0,1,0,1,0,0,0,1,25826
117,2,1,1,1,99.42694564382396,0,0,1,0,0,0,1,0,0,26486
118,1,1,1,1,70.0,0,0,1,0,1,0,0,0,1,26543
119,3,1,1,1,66.63207304417206,0,0,1,1,0,0,0,0,0,27255
120,3,2,1,1,84.0,0,0,1,0,0,0,1,0,1,27469
121,2,2,1,1,99.42694564382396,0,0,1,0,0,0,1,0,0,27563
122,2,1,1,1,85.0,0,0,1,0,1,0,0,0,1,27651
123,2,1,1,1,70.0,0,0,1,1,0,0,0,0,1,27919
124,10,2,4,8,650.0,0,1,0,0,0,0,1,0,1,28078
125,7,1,3,3,213.8686105800721,0,1,0,0,1,0,0,0,0,28242
126,2,1,1,1,100.0,0,0,1,0,0,0,1,0,1,28728
127,1,1,1,1,68.0,0,0,1,0,0,0,0,1,1,28762
128,1,1,1,1,47.0,0,0,1,0,1,0,0,0,1,29018
129,4,1,1,2,119.0,0,0,1,1,0,0,0,0,1,29089
130,2,1,1,1,57.0,0,0,1,1,0,0,0,0,1,29824
131,2,1,1,1,200.0,0,0,1,0,0,0,1,0,1,29841
132,5,1,2,3,115.0,0,1,0,0,1,0,0,0,1,30025
133,1,1,1,1,61.455356004131175,0,0,1,1,0,0,0,0,0,30421
134,3,1,1,1,130.0,0,0,1,0,0,0,1,0,1,30428
135,1,1,1,1,70.0,0,0,1,0,1,0,0,0,1,30562
136,2,1,0,2,64.0,0,0,1,1,0,0,0,0,1,30928
137,4,2,2,2,599.0,0,1,0,0,0,0,1,0,1,31156
138,3,1,0,2,200.0,0,1,0,0,0,0,1,0,1,31703
139,6,1,2,3,325.0,0,1,0,0,0,0,1,0,1,31762
140,3,1,1,1,130.0,0,1,0,0,1,0,0,0,1,31944
