neighbourhoodGroup,neighbourhood,latitude,longitude,propertyType,roomType,accommodates,bathrooms,bedrooms,beds,bedType,price,availability,Distance
Brooklyn,Bedford-Stuyvesant,40.69082441,-73.95591442,Apartment,Private room,1,1,1,1,Real Bed,200,178,0
Brooklyn,Bedford-Stuyvesant,40.6825613,-73.93524686,Apartment,Private room,1,1,1,1,Real Bed,195,365,1.97002754
Brooklyn,Bedford-Stuyvesant,40.687691,-73.95253993,Apartment,Private room,1,1,1,1,Real Bed,150,88,0.449829229
Brooklyn,Bedford-Stuyvesant,40.69782188,-73.93911349,Apartment,Private room,1,1,1,1,Real Bed,150,277,1.616089736
Brooklyn,Bedford-Stuyvesant,40.67933741,-73.95247038,Apartment,Private room,1,1,1,1,Real Bed,125,365,1.309892182
Brooklyn,Bedford-Stuyvesant,40.67861385,-73.9453005,Apartment,Private room,1,1,1,1,Real Bed,125,180,1.626178206
Brooklyn,Bedford-Stuyvesant,40.69487088,-73.93465858,Apartment,Private room,1,1,1,1,Real Bed,120,365,1.847696647
Brooklyn,Bedford-Stuyvesant,40.6847965,-73.93471202,Apartment,Private room,1,1,1,1,Real Bed,110,308,1.909228004
Brooklyn,Bedford-Stuyvesant,40.67980891,-73.93878079,Apartment,Private room,1,1,1,1,Real Bed,100,365,1.894055203
Brooklyn,Bedford-Stuyvesant,40.68851628,-73.94990184,Apartment,Private room,1,1,1,1,Real Bed,100,89,0.56820937
Brooklyn,Bedford-Stuyvesant,40.68449701,-73.93774012,Apartment,Private room,1,1,1,1,Real Bed,100,365,1.686189809
Brooklyn,Bedford-Stuyvesant,40.68410708,-73.95347255,Apartment,Private room,1,1,1,1,Real Bed,97,365,0.77479007
Brooklyn,Bedford-Stuyvesant,40.68135139,-73.94326657,Apartment,Private room,1,1,1,1,Real Bed,90,364,1.498951368
Brooklyn,Bedford-Stuyvesant,40.68685171,-73.95449147,Apartment,Private room,1,1,1,1,Real Bed,89,26,0.457746682
Brooklyn,Bedford-Stuyvesant,40.68308981,-73.95249296,Apartment,Private room,1,1,1,1,Real Bed,88,88,0.907142943
Brooklyn,Bedford-Stuyvesant,40.68399105,-73.91578025,Apartment,Private room,1,1,1,1,Real Bed,86,87,3.468235092
Brooklyn,Bedford-Stuyvesant,40.69163121,-73.93999819,Apartment,Private room,1,1,1,1,Real Bed,85,90,1.344921313
Brooklyn,Bedford-Stuyvesant,40.68792227,-73.94549559,Apartment,Private room,1,1,1,1,Real Bed,85,365,0.935852551
Brooklyn,Bedford-Stuyvesant,40.68347564,-73.95188877,Apartment,Private room,1,1,1,1,Real Bed,84,324,0.884839295
Brooklyn,Bedford-Stuyvesant,40.69499368,-73.9482224,Apartment,Private room,1,1,1,1,Real Bed,81,90,0.797178679
