neighbourhoodGroup,neighbourhood,latitude,longitude,propertyType,roomType,accommodates,bathrooms,bedrooms,beds,bedType,price,availability,Distance
Queens,Astoria,40.76633963,-73.92002632,Apartment,Private room,1,1,1,1,Real Bed,150,62,0.846585907
Queens,Astoria,40.76903722,-73.92942684,Apartment,Private room,1,1,1,1,Real Bed,95,362,0
Queens,Astoria,40.76505005,-73.9300182,Apartment,Private room,1,1,1,1,Real Bed,95,177,0.446141431
Queens,Astoria,40.76458269,-73.92706736,Apartment,Private room,1,1,1,1,Real Bed,90,362,0.533692016
Queens,Astoria,40.76397836,-73.91973896,Apartment,Private room,1,1,1,1,Real Bed,90,83,0.991002943
Queens,Astoria,40.76957102,-73.91502446,Apartment,Private room,1,1,1,1,Real Bed,90,365,1.214318044
Queens,Astoria,40.76530169,-73.92660554,Apartment,Private room,1,1,1,1,Real Bed,85,365,0.478525322
Queens,Astoria,40.75728664,-73.91590855,Apartment,Private room,1,1,1,1,Real Bed,84,32,1.733044704
Queens,Astoria,40.76151682,-73.92254301,Apartment,Private room,1,1,1,1,Real Bed,80,88,1.017537526
Queens,Astoria,40.76027165,-73.91974525,Apartment,Private room,1,1,1,1,Real Bed,80,55,1.270765968
Queens,Astoria,40.75618715,-73.92545687,Apartment,Private room,1,1,1,2,Real Bed,80,89,1.467461253
Queens,Astoria,40.76591994,-73.91811599,Apartment,Private room,1,1,1,1,Real Bed,80,363,1.013653346
Queens,Astoria,40.7707427,-73.92275277,Apartment,Private room,1,1,1,1,Real Bed,79,89,0.593169705
Queens,Astoria,40.76802102,-73.91110036,Apartment,Private room,1,1,1,1,Real Bed,76,90,1.547475443
Queens,Astoria,40.76294352,-73.91486362,Apartment,Private room,1,1,1,1,Real Bed,75,89,1.401199825
Queens,Astoria,40.76562564,-73.92003626,Apartment,Private room,1,1,1,1,Real Bed,75,117,0.87710971
Queens,Astoria,40.76923761,-73.91776125,Apartment,Private room,1,1,1,1,Real Bed,75,180,0.982648567
Queens,Astoria,40.77106866,-73.93213882,Apartment,Private room,1,1,1,1,Real Bed,75,164,0.321220115
Queens,Astoria,40.76736758,-73.91244455,Apartment,Private room,1,1,1,1,Real Bed,70,179,1.4421521
Queens,Astoria,40.76557311,-73.90989916,Apartment,Private room,1,1,1,1,Real Bed,70,365,1.689041011
Queens,Astoria,40.75706496,-73.91833947,Apartment,Private room,1,1,1,1,Real Bed,70,364,1.626099066
Queens,Astoria,40.76257676,-73.92140624,Apartment,Private room,1,1,1,1,Real Bed,70,364,0.98606325
Queens,Astoria,40.76457162,-73.92195179,Apartment,Private room,1,1,1,1,Real Bed,70,313,0.801784714
Queens,Astoria,40.76555325,-73.91458269,Apartment,Private room,1,1,1,1,Real Bed,70,89,1.308757512
Queens,Astoria,40.76349652,-73.92023905,Apartment,Private room,1,1,1,1,Real Bed,70,364,0.98908557
Queens,Astoria,40.76313482,-73.91564644,Apartment,Private room,1,1,1,1,Real Bed,69,63,1.33327199
Queens,Astoria,40.76459397,-73.91900603,Apartment,Private room,1,1,1,1,Real Bed,68,88,1.007116348
Queens,Astoria,40.76120771,-73.92340737,Apartment,Private room,1,1,1,1,Real Bed,65,50,1.007444701
Queens,Astoria,40.75515268,-73.91572065,Apartment,Private room,1,1,1,1,Real Bed,65,88,1.927732539
Queens,Astoria,40.75884242,-73.92657199,Apartment,Private room,1,1,1,1,Real Bed,65,58,1.158827233
Queens,Astoria,40.77209466,-73.92792967,Apartment,Private room,1,1,1,1,Real Bed,63,83,0.362597091
Queens,Astoria,40.76229962,-73.9130399,Apartment,Private room,1,1,1,1,Real Bed,62,364,1.570308149
Queens,Astoria,40.7557982,-73.92376626,Apartment,Private room,1,1,1,1,Real Bed,59,282,1.547384106
Queens,Astoria,40.77010014,-73.9321907,Apartment,Private room,1,1,1,3,Real Bed,58,216,0.261041343
Queens,Astoria,40.77073405,-73.93228768,Apartment,Private room,1,1,1,3,Real Bed,57,271,0.306008173
Queens,Astoria,40.770928,-73.93290559,Apartment,Private room,1,1,1,3,Real Bed,57,365,0.360588832
Queens,Astoria,40.75528419,-73.91628425,Apartment,Private room,1,1,1,1,Real Bed,55,304,1.887822643
Queens,Astoria,40.76963869,-73.92303357,Apartment,Private room,1,1,1,1,Real Bed,55,62,0.542533774
Queens,Astoria,40.76149652,-73.9158835,Apartment,Private room,1,1,1,1,Real Bed,55,30,1.415632384
Queens,Astoria,40.77005928,-73.9267875,Apartment,Private room,1,1,1,1,Real Bed,55,59,0.249635503
Queens,Astoria,40.75742131,-73.92181971,Apartment,Private room,1,1,1,1,Real Bed,55,365,1.44179611
Queens,Astoria,40.76112034,-73.91459797,Apartment,Private room,1,1,1,1,Real Bed,54,301,1.52794432
Queens,Astoria,40.75702653,-73.9166612,Apartment,Private room,1,1,1,1,Real Bed,51,353,1.714510465
Queens,Astoria,40.77401012,-73.9284297,Apartment,Private room,1,1,1,1,Real Bed,50,90,0.559300445
Queens,Astoria,40.7673334,-73.91622356,Apartment,Private room,1,1,1,1,Real Bed,50,365,1.127930635
Queens,Astoria,40.76778759,-73.91659492,Apartment,Private room,1,1,1,1,Real Bed,50,170,1.089524972
Queens,Astoria,40.75843644,-73.92646852,Apartment,Private room,1,1,1,1,Real Bed,50,48,1.20479628
Queens,Astoria,40.75536838,-73.91648276,Apartment,Private room,1,1,1,1,Real Bed,49,332,1.870453253
Queens,Astoria,40.76805975,-73.93230162,Apartment,Private room,1,1,1,1,Real Bed,49,47,0.265375405
Queens,Astoria,40.75767671,-73.92710918,Apartment,Private room,1,1,1,1,Real Bed,49,147,1.278222829
Queens,Astoria,40.75869171,-73.91899098,Apartment,Private room,1,1,1,1,Real Bed,49,365,1.44769582
Queens,Astoria,40.76389018,-73.9135769,Apartment,Private room,1,1,1,1,Real Bed,49,89,1.452349225
Queens,Astoria,40.75902103,-73.91539708,Apartment,Private room,1,1,1,1,Real Bed,47,361,1.623752243
Queens,Astoria,40.76716886,-73.90993811,Apartment,Private room,1,1,1,1,Real Bed,47,360,1.654329274
Queens,Astoria,40.76820136,-73.93393498,Apartment,Private room,1,1,1,1,Real Bed,46,69,0.390858975
