neighbourhoodGroup,neighbourhood,latitude,longitude,propertyType,roomType,accommodates,bathrooms,bedrooms,beds,bedType,price,availability
Brooklyn,Bedford-Stuyvesant,40.68234785,-73.94634465,Apartment,Entire home/apt,2,1,1,1,Real Bed,2000,0
Brooklyn,Bedford-Stuyvesant,40.6897962,-73.95204834,Apartment,Private room,1,1,1,1,Real Bed,1600,0
Brooklyn,Bedford-Stuyvesant,40.68346891,-73.92028496,Townhouse,Entire home/apt,6,1,3,4,Real Bed,1200,358
Brooklyn,Bedford-Stuyvesant,40.68542277,-73.95183896,House,Entire home/apt,16,4,7,11,Real Bed,1050,307
Brooklyn,Bedford-Stuyvesant,40.68917226,-73.95528411,Apartment,Private room,1,1.5,1,1,Real Bed,1000,0
Brooklyn,Bedford-Stuyvesant,40.68010169,-73.94071721,House,Private room,2,2,1,1,Real Bed,1000,0
Brooklyn,Bedford-Stuyvesant,40.68785511,-73.95688385,Apartment,Entire home/apt,16,1,1,1,Real Bed,1000,365
Brooklyn,Bedford-Stuyvesant,40.69319641,-73.95518535,Apartment,Private room,1,1.5,1,1,Real Bed,900,90
Brooklyn,Bedford-Stuyvesant,40.68450512,-73.94915153,Apartment,Entire home/apt,5,2,3,3,Real Bed,865,365
Brooklyn,Bedford-Stuyvesant,40.68085442,-73.94224486,House,Entire home/apt,16,2,7,14,Real Bed,839,280
Brooklyn,Bedford-Stuyvesant,40.68580978,-73.94688513,Apartment,Entire home/apt,12,2,3,6,Real Bed,800,178
Brooklyn,Bedford-Stuyvesant,40.68492173,-73.95489083,Townhouse,Entire home/apt,16,5,7,18,Real Bed,800,258
Brooklyn,Bedford-Stuyvesant,40.68056605,-73.94508313,Apartment,Private room,2,1,1,2,Real Bed,750,364
Brooklyn,Bedford-Stuyvesant,40.68740461,-73.94339023,House,Private room,1,1,1,1,Real Bed,750,0
Brooklyn,Bedford-Stuyvesant,40.69283357,-73.95604349,House,Private room,16,2,6,10,Real Bed,700,364
Brooklyn,Bedford-Stuyvesant,40.67917262,-73.93102819,House,Entire home/apt,16,3,9,12,Real Bed,700,305
Brooklyn,Bedford-Stuyvesant,40.69017404,-73.95757164,Loft,Entire home/apt,16,2,1,1,Couch,700,356
Brooklyn,Bedford-Stuyvesant,40.68054458,-73.91373884,House,Entire home/apt,14,3,4,5,Real Bed,700,365
Brooklyn,Bedford-Stuyvesant,40.68827337,-73.94943341,Townhouse,Entire home/apt,8,2.5,4,4,Real Bed,695,0
Brooklyn,Bedford-Stuyvesant,40.68090002,-73.94271083,Apartment,Entire home/apt,6,1.5,1,4,Real Bed,650,365
Brooklyn,Bedford-Stuyvesant,40.68784983,-73.92412134,House,Entire home/apt,10,3.5,4,6,Real Bed,541,179
Brooklyn,Bedford-Stuyvesant,40.68892661,-73.95354045,Townhouse,Entire home/apt,6,2,3,3,Real Bed,525,364
Brooklyn,Bedford-Stuyvesant,40.68185983,-73.94857729,Apartment,Entire home/apt,2,1,1,1,Real Bed,521,363
Brooklyn,Bedford-Stuyvesant,40.68588673,-73.93285523,Townhouse,Entire home/apt,2,1,1,1,Real Bed,500,362
Brooklyn,Bedford-Stuyvesant,40.69306034,-73.94937598,Apartment,Private room,2,1,1,1,Real Bed,500,365
