,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price
11,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,79
18,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,95
63,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100
82,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,79
89,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,60
117,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,89
156,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,85
230,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70
238,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,130
286,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70
353,Manhattan,Bed and breakfast,Private room,1,1,1,1,Real Bed,75
432,Manhattan,Apartment,Private room,1,1,1,1,Pull-out Sofa,69
476,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,65
499,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,130
543,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,68
544,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,55
582,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,75
602,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,115
608,Manhattan,Apartment,Private room,1,1,1,1,Futon,79
610,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100
615,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,120
617,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,120
649,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,180
665,Manhattan,Apartment,Private room,1,1,1,2,Real Bed,50
694,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,58
697,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,80
709,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,80
711,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,80
714,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100
741,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,130
750,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,90
756,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,79
923,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,200
930,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,50
948,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,60
971,Manhattan,House,Private room,1,1,1,1,Pull-out Sofa,75
999,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,90
