,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price
37,Brooklyn,House,Private room,1,1.0,1,2,Real Bed,150
67,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,80
77,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
212,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,50
227,Brooklyn,Condominium,Private room,1,1.0,1,1,Real Bed,100
260,Brooklyn,Apartment,Private room,1,1.0,1,1,Futon,75
273,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,69
274,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,62
324,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,59
327,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,70
349,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
390,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,55
461,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,90
471,Brooklyn,Apartment,Private room,1,1.0,1,1,Pull-out Sofa,90
538,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,39
565,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,90
578,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
628,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
630,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,72
651,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,65
685,Brooklyn,Apartment,Private room,1,1.0,1,1,Airbed,41
704,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,27
757,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,36
788,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,55
816,Brooklyn,Apartment,Private room,1,1.0,1,1,Futon,50
819,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,125
821,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,150
827,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,70
893,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,102
914,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
915,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,65
967,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,60
968,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,47
997,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,65
1001,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
1007,Brooklyn,Townhouse,Private room,1,1.0,1,1,Real Bed,86
1013,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
1016,Brooklyn,Apartment,Private room,1,1.0,1,1,Airbed,44
1024,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,49
1025,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
1032,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
1053,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,62
1075,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,65
1122,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
1146,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,35
1153,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,85
1158,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
1171,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
1184,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,45
1263,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,45
1309,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,110
1358,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,82
1391,Brooklyn,Apartment,Private room,1,1.0,1,1,Airbed,45
1412,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,100
1415,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,90
1416,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
1452,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,49
1482,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,49
1498,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,46
1522,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,100
1531,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,50
1555,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,65
1614,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,53
